Lead,Lead I
-45,636
-45,842
-46,061
-46,292
-46,535
-46,788
-47,052
-47,324
-47,605
-47,892
-48,185
-48,483
-48,784
-49,087
-49,39
-49,693
-49,994
-50,292
-50,585
-50,871
-51,15
-51,419
-51,678
-51,924
-52,158
-52,377
-52,581
-52,769
-52,941
-53,096
-53,233
-53,353
-53,456
-53,542
-53,612
-53,666
-53,706
-53,732
-53,747
-53,751
-53,746
-53,734
-53,717
-53,695
-53,672
-53,649
-53,627
-53,608
-53,594
-53,587
-53,589
-53,601
-53,625
-53,663
-53,715
-53,784
-53,87
-53,974
-54,098
-54,241
-54,406
-54,59
-54,796
-55,022
-55,269
-55,534
-55,818
-56,119
-56,435
-56,764
-57,104
-57,454
-57,809
-58,168
-58,528
-58,887
-59,241
-59,589
-59,927
-60,252
-60,562
-60,855
-61,128
-61,378
-61,604
-61,803
-61,974
-62,114
-62,222
-62,297
-62,337
-62,341
-62,309
-62,24
-62,132
-61,987
-61,803
-61,583
-61,325
-61,032
-60,705
-60,345
-59,954
-59,534
-59,088
-58,617
-58,125
-57,613
-57,085
-56,542
-55,987
-55,423
-54,852
-54,277
-53,699
-53,12
-52,542
-51,967
-51,396
-50,83
-50,271
-49,72
-49,178
-48,646
-48,123
-47,612
-47,113
-46,625
-46,149
-45,685
-45,233
-44,792
-44,362
-43,941
-43,53
-43,127
-42,732
-42,342
-41,958
-41,577
-41,2
-40,825
-40,452
-40,081
-39,71
-39,342
-38,975
-38,61
-38,249
-37,891
-37,539
-37,194
-36,856
-36,528
-36,211
-35,906
-35,616
-35,342
-35,086
-34,85
-34,636
-34,446
-34,282
-34,145
-34,038
-33,963
-33,921
-33,914
-33,944
-34,012
-34,12
-34,268
-34,457
-34,687
-34,956
-35,264
-35,609
-35,989
-36,4
-36,841
-37,307
-37,797
-38,306
-38,832
-39,369
-39,915
-40,463
-41,008
-41,545
-42,065
-42,564
-43,033
-43,465
-43,853
-44,191
-44,471
-44,687
-44,83
-44,891
-44,861
-44,736
-44,512
-44,185
-43,756
-43,226
-42,6
-41,885
-41,091
-40,224
-39,292
-38,298
-37,244
-36,133
-34,967
-33,752
-32,486
-31,164
-29,776
-28,309
-26,749
-25,082
-23,291
-21,35
-19,238
-16,943
-14,458
-11,787
-8,94
-5,934
-2,791
0,465
3,798
7,158
10,493
13,739
16,836
19,726
22,344
24,62
26,492
27,906
28,82
29,208
29,053
28,347
27,095
25,311
23,022
20,264
17,082
13,53
9,659
5,52
1,166
-3,339
-7,934
-12,56
-17,158
-21,678
-26,072
-30,301
-34,332
-38,141
-41,705
-45,005
-48,022
-50,737
-53,138
-55,207
-56,936
-58,336
-59,426
-60,24
-60,83
-61,241
-61,529
-61,769
-62,033
-62,406
-62,981
-63,827
-65,052
-66,806
-69,167
-72,15
-75,668
-79,459
-83,264
-86,884
-90,019
-92,322
-93,591
-93,732
-92,966
-91,954
-91,249
-91,22
-92,229
-94,465
-97,88
-102,219
-106,56
-109,2
-108,452
-102,685
-90,329
-70,257
-41,519
-3,408
43,807
98,787
159,728
224,169
289,29
352,49
410,786
460,936
500,308
526,923
539,345
537,276
521,071
491,111
448,616
395,67
334,557
267,858
198,337
128,099
59,035
-6,481
-66,334
-118,936
-162,954
-197,563
-222,575
-237,662
-242,578
-238,124
-225,754
-207,168
-184,418
-159,614
-134,448
-110,819
-90,869
-75,772
-65,845
-60,954
-60,307
-62,765
-67,402
-72,966
-77,777
-80,814
-81,635
-80,079
-76,54
-71,6
-65,686
-59,471
-53,863
-49,363
-46,204
-44,453
-43,858
-44,151
-45,137
-46,488
-47,838
-48,97
-49,745
-50,106
-50,113
-49,797
-49,172
-48,288
-47,192
-45,92
-44,504
-42,954
-41,263
-39,431
-37,471
-35,408
-33,264
-31,061
-28,816
-26,54
-24,242
-21,93
-19,607
-17,272
-14,925
-12,561
-10,175
-7,768
-5,348
-2,925
-0,508
1,908
4,329
6,766
9,229
11,725
14,265
16,864
19,536
22,294
25,149
28,107
31,178
34,377
37,72
41,224
44,905
48,77
52,825
57,075
61,522
66,168
71,01
76,042
81,259
86,655
92,227
97,97
103,879
109,942
116,151
122,494
128,961
135,545
142,232
149,006
155,849
162,745
169,672
176,61
183,533
190,413
197,221
203,934
210,527
216,981
223,271
229,372
235,264
240,923
246,333
251,486
256,375
260,994
265,351
269,453
273,314
276,954
280,378
283,586
286,578
289,346
291,89
294,205
296,279
298,104
299,666
300,946
301,921
302,558
302,802
302,6
301,899
300,64
298,791
296,327
293,219
289,451
285,006
279,872
274,047
267,529
260,306
252,377
243,753
234,472
224,604
214,221
203,393
192,197
180,695
168,952
157,044
145,043
133,015
121,031
109,165
97,498
86,136
75,18
64,706
54,765
45,376
36,553
28,312
20,663
13,612
7,153
1,268
-4,064
-8,854
-13,128
-16,925
-20,302
-23,341
-26,123
-28,706
-31,132
-33,425
-35,607
-37,703
-39,73
-41,697
-43,604
-45,444
-47,219
-48,933
-50,584
-52,159
-53,631
-54,962
-56,118
-57,082
-57,842
-58,397
-58,747
-58,894
-58,847
-58,623
-58,243
-57,725
-57,087
-56,34
-55,5
-54,587
-53,626
-52,645
-51,668
-50,711
-49,791
-48,918
-48,104
-47,356
-46,679
-46,072
-45,534
-45,066
-44,669
-44,347
-44,098
-43,922
-43,817
-43,781
-43,81
-43,904
-44,06
-44,275
-44,545
-44,867
-45,241
-45,662
-46,128
-46,636
-47,181
-47,758
-48,363
-48,992
-49,638
-50,298
-50,966
-51,639
-52,311
-52,979
-53,64
-54,29
-54,926
-55,544
-56,144
-56,721
-57,275
-57,802
-58,302
-58,774
-59,215
-59,626
-60,005
-60,352
-60,668
-60,952
-61,204
-61,426
-61,617
-61,78
-61,914
-62,022
-62,105
-62,164
-62,202
-62,219
-62,219
-62,203
-62,173
-62,132
-62,08
-62,021
-61,955
-61,885
-61,812
-61,738
-61,664
-61,592
-61,524
-61,46
-61,403
-61,354
-61,313
-61,283
-61,263
-61,255
-61,26
-61,279
-61,312
-61,359
-61,423
-61,502
-61,597
-61,708
-61,836
-61,979
-62,138
-62,312
-62,501
-62,703
-62,918
-63,145
-63,383
-63,631
-63,887
-64,15
-64,42
-64,693
-64,969
-65,246
-65,523
-65,796
-66,065
-66,327
-66,581
-66,824
-67,055
-67,271
-67,47
-67,651
-67,811
-67,949
-68,062
-68,149
-68,209
-68,239
-68,24
-68,209
-68,147
-68,052
-67,924
-67,765
-67,572
-67,348
-67,093
-66,807
-66,492
-66,148
-65,779
-65,385
-64,968
-64,53
-64,075
-63,603
-63,118
-62,623
-62,12
-61,611
-61,1
-60,59
-60,083
-59,582
-59,09
-58,61
-58,144
-57,695
-57,265
-56,855
-56,469
-56,106
-55,769
-55,458
-55,175
-54,918
-54,69
-54,489
-54,315
-54,168
-54,045
-53,948
-53,872
-53,818
-53,782
-53,764
-53,759
-53,768
-53,785
-53,81
-53,84
-53,872
-53,903
-53,931
-53,954
-53,968
-53,973
-53,966
-53,944
-53,907
-53,852
-53,779
-53,687
-53,575
-53,443
-53,29
-53,116
-52,923
-52,71
-52,479
-52,231
-51,966
-51,688
-51,397
-51,096
-50,787
-50,474
-50,158
-49,842
-49,53
-49,225
-48,93
-48,647
-48,381
-48,133
-47,907
-47,706
-47,532
-47,388
-47,275
-47,195
-47,151
-47,143
-47,172
-47,239
-47,345
-47,488
-47,67
-47,889
-48,145
-48,436
-48,761
-49,119
-49,506
-49,922
-50,362
-50,824
-51,304
-51,799
-52,305
-52,816
-53,329
-53,837
-54,336
-54,82
-55,284
-55,722
-56,128
-56,497
-56,823
-57,099
-57,322
-57,485
-57,584
-57,612
-57,567
-57,442
-57,233
-56,938
-56,553
-56,073
-55,498
-54,823
-54,046
-53,167
-52,184
-51,095
-49,901
-48,601
-47,197
-45,691
-44,084
-42,38
-40,583
-38,697
-36,728
-34,681
-32,564
-30,384
-28,148
-25,864
-23,543
-21,194
-18,827
-16,452
-14,081
-11,726
-9,402
-7,12
-4,895
-2,74
-0,67
1,3
3,159
4,893
6,491
7,942
9,233
10,354
11,292
12,037
12,578
12,908
13,02
12,907
12,565
11,995
11,199
10,18
8,937
7,466
5,763
3,827
1,662
-0,729
-3,332
-6,135
-9,116
-12,245
-15,486
-18,805
-22,167
-25,542
-28,904
-32,218
-35,443
-38,528
-41,419
-44,072
-46,448
-48,512
-50,253
-51,67
-52,778
-53,623
-54,248
-54,707
-55,071
-55,404
-55,786
-56,31
-57,048
-58,121
-59,69
-61,848
-64,626
-67,94
-71,528
-75,133
-78,542
-81,453
-83,537
-84,563
-84,413
-83,374
-82,139
-81,324
-81,408
-82,703
-85,31
-89,241
-94,249
-99,269
-102,558
-102,279
-96,598
-84,165
-64,065
-35,297
2,734
49,545
103,787
163,425
225,8
288,515
