Lead,Lead I
7,703
8,221
8,541
8,629
8,456
8,01
7,292
6,31
5,072
3,582
1,833
-0,183
-2,472
-5,053
-7,947
-11,183
-14,791
-18,763
-23,071
-27,671
-32,52
-37,594
-42,879
-48,362
-54,03
-59,882
-65,898
-72,053
-78,308
-84,59
-90,829
-96,957
-102,904
-108,636
-114,131
-119,376
-124,358
-129,06
-133,453
-137,511
-141,2
-144,464
-147,27
-149,599
-151,456
-152,887
-153,929
-154,612
-154,966
-155,008
-154,748
-154,199
-153,366
-152,25
-150,867
-149,235
-147,388
-145,38
-143,249
-141,019
-138,697
-136,263
-133,708
-131,029
-128,225
-125,299
-122,259
-119,118
-115,896
-112,621
-109,307
-105,963
-102,583
-99,152
-95,665
-92,118
-88,522
-84,897
-81,27
-77,67
-74,131
-70,679
-67,333
-64,098
-60,974
-57,965
-55,08
-52,334
-49,752
-47,359
-45,18
-43,251
-41,595
-40,215
-39,097
-38,203
-37,481
-36,896
-36,419
-36,035
-35,731
-35,486
-35,273
-35,074
-34,856
-34,587
-34,227
-33,714
-33
-32,067
-30,916
-29,581
-28,115
-26,55
-24,913
-23,226
-21,503
-19,764
-18,027
-16,3
-14,593
-12,927
-11,327
-9,842
-8,512
-7,351
-6,357
-5,509
-4,767
-4,106
-3,508
-2,946
-2,408
-1,878
-1,347
-0,816
-0,289
0,24
0,783
1,358
1,984
2,666
3,403
4,186
4,999
5,832
6,676
7,516
8,344
9,16
9,959
10,745
11,52
12,278
13,018
13,743
14,454
15,157
15,856
16,553
17,257
17,982
18,732
19,508
20,298
21,088
21,871
22,644
23,413
24,181
24,947
25,696
26,412
27,087
27,713
28,279
28,762
29,133
29,378
29,509
29,557
29,556
29,523
29,465
29,379
29,266
29,14
29,018
28,915
28,836
28,79
28,798
28,895
29,126
29,508
30,029
30,647
31,325
32,042
32,787
33,556
34,336
35,108
35,858
36,582
37,282
37,951
38,572
39,111
39,529
39,812
39,968
40,027
40,015
39,943
39,822
39,661
39,474
39,278
39,079
38,874
38,656
38,428
38,201
37,994
37,827
37,708
37,638
37,606
37,607
37,639
37,701
37,789
37,897
38,022
38,166
38,337
38,543
38,789
39,076
39,402
39,765
40,169
40,615
41,105
41,641
42,225
42,856
43,538
44,272
45,059
45,897
46,781
47,707
48,673
49,674
50,706
51,766
52,847
53,948
55,063
56,189
57,322
58,458
59,593
60,721
61,84
62,944
64,03
65,093
66,13
67,136
68,107
69,04
69,93
70,774
71,569
72,31
72,996
73,623
74,189
74,692
75,13
75,502
75,809
76,051
76,228
76,342
76,394
76,387
76,324
76,206
76,039
75,823
75,564
75,264
74,928
74,56
74,162
73,74
73,299
72,841
72,374
71,9
71,426
70,958
70,499
70,056
69,635
69,241
68,881
68,56
68,283
68,056
67,884
67,772
67,725
67,746
67,837
68,003
68,244
68,563
68,96
69,434
69,986
70,615
71,318
72,095
72,94
73,853
74,827
75,86
76,945
78,075
79,241
80,436
81,649
82,869
84,085
85,285
86,456
87,588
88,669
89,686
90,629
91,484
92,238
92,877
93,39
93,762
93,983
94,043
93,933
93,649
93,189
92,551
91,73
90,722
89,517
88,111
86,501
84,686
82,669
80,462
78,084
75,565
72,938
70,238
67,501
64,757
62,037
59,377
56,816
54,404
52,194
50,233
48,572
47,257
46,312
45,743
45,529
45,617
45,949
46,479
47,144
47,874
48,587
49,18
49,546
49,6
49,208
48,199
46,464
43,968
40,84
37,419
34,083
31,18
29,121
28,339
29,129
31,576
35,319
39,509
43,253
45,826
46,677
45,464
42,19
37,365
32,395
29,56
31,434
40,491
58,783
87,934
129,088
182,587
247,475
321,53
401,601
483,96
564,977
641,013
708,337
763,588
804,226
828,545
835,884
826,574
801,053
760,26
705,977
640,428
566,276
486,636
404,361
321,921
242,454
169,134
104,658
51,379
10,49
-18,049
-34,482
-39,278
-34,229
-21,903
-5,348
12,02
27,924
41,212
50,786
55,728
56,062
52,489
46,501
40,219
34,859
30,807
28,45
28,097
29,762
33,238
37,785
42,211
45,858
48,561
50,233
50,907
50,654
49,56
47,96
46,413
45,297
44,804
45,059
46,076
47,849
50,362
53,492
57,03
60,803
64,667
68,509
72,263
75,841
79,136
82,058
84,523
86,455
87,804
88,519
88,557
87,93
86,707
85,011
83,007
80,845
78,644
76,503
74,5
72,706
71,195
70,025
69,235
68,873
68,979
69,6
70,797
72,592
74,957
77,829
81,103
84,676
88,483
92,468
96,592
100,826
105,144
109,531
113,994
118,529
123,123
127,751
132,367
136,947
141,496
146,035
150,604
155,251
159,998
164,859
169,84
174,932
180,115
185,364
190,637
195,895
201,117
206,287
211,404
216,463
221,444
226,327
231,091
235,712
240,181
244,49
248,63
252,604
256,428
260,117
263,684
267,139
270,473
273,666
276,686
279,496
282,058
284,333
286,264
287,794
288,857
289,395
289,36
288,705
287,369
285,301
282,456
278,798
274,316
269,017
262,917
256,042
248,421
240,092
231,103
221,519
211,4
200,796
189,739
178,253
166,385
154,189
141,719
129,026
116,149
103,116
89,964
76,739
63,487
50,256
37,097
24,053
11,183
-1,422
-13,665
-25,437
-36,652
-47,253
-57,185
-66,399
-74,852
-82,503
-89,336
-95,358
-100,582
-105,026
-108,725
-111,717
-114,072
-115,89
-117,274
-118,328
-119,142
-119,781
-120,307
-120,778
-121,244
-121,742
-122,294
-122,907
-123,587
-124,34
-125,161
-126,039
-126,943
-127,822
-128,635
-129,346
-129,931
-130,378
-130,678
-130,826
-130,826
-130,69
-130,436
-130,086
-129,657
-129,163
-128,623
-128,058
-127,495
-126,969
-126,504
-126,117
-125,824
-125,632
-125,547
-125,574
-125,711
-125,95
-126,283
-126,705
-127,21
-127,794
-128,454
-129,18
-129,968
-130,807
-131,691
-132,615
-133,573
-134,559
-135,569
-136,596
-137,638
-138,691
-139,754
-140,821
-141,889
-142,952
-144,007
-145,051
-146,079
-147,088
-148,075
-149,039
-149,979
-150,893
-151,782
-152,646
-153,486
-154,301
-155,095
-155,868
-156,621
-157,356
-158,075
-158,779
-159,471
-160,151
-160,822
-161,485
-162,141
-162,793
-163,441
-164,087
-164,732
-165,378
-166,025
-166,674
-167,326
-167,983
-168,643
-169,308
-169,977
-170,651
-171,328
-172,009
-172,692
-173,377
-174,062
-174,745
-175,426
-176,103
-176,773
-177,436
-178,09
-178,733
-179,365
-179,985
-180,591
-181,182
-181,758
-182,318
-182,861
-183,387
-183,896
-184,387
-184,859
-185,314
-185,751
-186,17
-186,572
-186,958
-187,327
-187,683
-188,024
-188,355
-188,675
-188,987
-189,292
-189,594
-189,895
-190,196
-190,501
-190,811
-191,13
-191,459
-191,801
-192,157
-192,531
-192,922
-193,334
-193,767
-194,223
-194,704
-195,211
-195,746
-196,309
-196,903
-197,53
-198,19
-198,887
-199,621
-200,394
-201,209
-202,067
-202,968
-203,915
-204,909
-205,95
-207,039
-208,177
-209,363
-210,598
-211,881
-213,212
-214,59
-216,015
-217,485
-219
-220,559
-222,16
-223,803
-225,487
-227,21
-228,97
-230,766
-232,596
-234,457
-236,346
-238,259
-240,193
-242,143
-244,103
-246,069
-248,034
-249,991
-251,934
-253,855
-255,746
-257,6
-259,409
-261,165
-262,859
-264,483
-266,03
-267,491
-268,859
-270,125
-271,282
-272,321
-273,236
-274,017
-274,658
-275,151
-275,488
-275,663
-275,668
-275,497
-275,143
-274,601
-273,867
-272,936
-271,804
-270,469
-268,93
-267,185
-265,236
-263,083
-260,729
-258,176
-255,43
-252,494
-249,374
-246,077
-242,609
-238,978
-235,192
-231,259
-227,188
-222,99
-218,673
-214,249
-209,73
-205,125
-200,449
-195,712
-190,927
-186,109
-181,27
-176,423
-171,583
-166,762
-161,975
-157,234
-152,553
-147,944
-143,419
-138,988
-134,663
-130,454
-126,37
-122,418
-118,606
-114,941
-111,43
-108,076
-104,884
-101,858
-99
-96,313
-93,796
-91,451
-89,277
-87,271
-85,432
-83,757
-82,24
-80,876
-79,661
-78,585
-77,642
-76,824
-76,121
-75,522
-75,019
-74,6
-74,254
-73,97
-73,736
-73,541
-73,372
-73,219
-73,07
-72,914
-72,739
-72,534
-72,29
-71,996
-71,644
-71,224
-70,727
-70,147
-69,476
-68,707
-67,835
-66,855
-65,764
-64,559
-63,237
-61,798
-60,244
-58,575
-56,795
-54,905
-52,91
-50,817
-48,63
-46,356
-44,001
-41,574
-39,083
-36,54
-33,953
-31,336
-28,7
-26,06
-23,43
-20,826
-18,262
-15,754
-13,315
-10,96
-8,705
-6,565
-4,555
-2,689
-0,979
0,557
1,905
3,052
3,987
4,704
5,2
5,467
5,499
5,288
4,828
4,11
3,126
1,858
0,286
-1,605
-3,822
-6,361
-9,216
-12,381
-15,851
-19,613
-23,648
-27,93
-32,423
-37,095
-41,905
-46,795
-51,688
-56,487
-61,078
-65,358
-69,242
-72,652
-75,52
-77,776
-79,368
-80,275
-80,503
-80,078
-79,035
-77,401
-75,217
-72,579
-69,63
-66,549
-63,553
-60,846
-58,605
-57,036
-56,385
-56,836
-58,466
-61,219
-64,838
-69,036
-73,602
-78,25
-82,581
-86,281
-89,132
-91,155
-92,819
-94,65
-96,953
-100,079
-104,336
-109,705
-116,008
-122,577
-127,825
-129,868
-126,885
-116,806
-97,701
-68,158
-26,889
26,741
92,006
167,363
250,655
338,671
427,785
514,465
594,652
664,274
720,144
759,693
781,073
783,928
768,739
736,201
688,059
626,934
555,596
477,182
395,041
311,715
229,416
150,782
78,116
13,204
-42,375
-87,649
-122,39
-146,229
-158,816
-160,722
-153,206
-137,985
-117,295
-93,427
-68,283
-43,925
-22,755
-6,66
3,359
7,088
5,13
-1,414
-11,472
-23,741
-36,361
-47,495
-55,925
-61,015
-62,735
-61,494
-57,744
-52,049
-45,346
-38,647
-32,613
-27,584
-23,61
-20,515
-18,13
-16,286
-14,686
-13,01
-11,095
-8,906
-6,505
-4,037
-1,605
0,721
2,849
4,698
6,242
7,483
8,461
9,254
9,918
10,502
11,076
11,701
12,436
13,336
14,444
15,791
17,419
19,362
21,642
24,265
27,218
30,481
34,037
37,861
41,921
46,182
50,59
55,095
59,671
64,299
68,968
73,668
78,38
83,087
87,8
92,553
97,375
102,3
107,345
112,519
117,841
123,336
129,034
134,966
141,143
147,56
154,223
161,14
