"Laikotarpis","Rodiklis","Kelių įvykis","Matavimo vienetai","Reikšmė"
"2016M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","323"
"2016M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","290"
"2016M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","298"
"2016M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","284"
"2016M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","227"
"2016M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","194"
"2016M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","201"
"2016M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","175"
"2015M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","293"
"2015M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","290"
"2015M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","290"
"2015M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","263"
"2015M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","329"
"2015M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","252"
"2015M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","282"
"2015M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","258"
"2015M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","225"
"2015M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","160"
"2015M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","161"
"2015M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","230"
"2014M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","368"
"2014M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","233"
"2014M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","268"
"2014M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","264"
"2014M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","317"
"2014M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","295"
"2014M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","303"
"2014M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","267"
"2014M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","281"
"2014M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","209"
"2014M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","186"
"2014M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","234"
"2013M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","304"
"2013M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","349"
"2013M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","339"
"2013M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","308"
