Lead,Lead I
459,674
425,311
413,182
396,365
410,726
419,278
417,708
421,441
427,032
426,343
419,129
407,565
394,032
381,142
369,802
360,042
352,198
346,164
341,461
337,753
334,811
332,406
330,45
328,619
326,162
322,642
318,049
312,493
306,156
299,199
291,681
283,849
276,23
269,16
262,758
257,047
251,907
247,243
243,048
239,243
235,645
232,132
228,623
225,063
221,47
217,842
214,13
210,294
206,314
202,177
197,888
193,463
188,908
184,239
179,474
174,631
169,732
164,801
159,855
154,911
149,99
145,107
140,293
135,583
131,006
126,584
122,33
118,249
114,347
110,63
107,093
103,722
100,502
97,423
94,477
91,667
88,994
86,462
84,073
81,831
79,734
77,778
75,946
74,211
72,543
70,903
69,267
67,623
65,957
64,258
62,512
60,703
58,808
56,803
54,656
52,326
49,786
47,017
44,022
40,824
37,456
33,966
30,393
26,772
23,131
19,494
15,882
12,316
8,821
5,419
2,144
-0,962
-3,862
-6,528
-8,942
-11,105
-13,033
-14,753
-16,293
-17,682
-18,942
-20,09
-21,145
-22,117
-23,012
-23,832
-24,576
-25,248
-25,86
-26,423
-26,949
-27,448
-27,911
-28,327
-28,686
-28,97
-29,167
-29,267
-29,249
-29,109
-28,854
-28,505
-28,099
-27,676
-27,268
-26,897
-26,58
-26,336
-26,188
-26,163
-26,282
-26,57
-27,054
-27,765
-28,752
-30,05
-31,677
-33,637
-35,916
-38,493
-41,355
-44,497
-47,912
-51,594
-55,531
-59,709
-64,118
-68,749
-73,585
-78,593
-83,721
-88,916
-94,131
-99,327
-104,468
-109,517
-114,418
-119,114
-123,549
-127,673
-131,443
-134,822
-137,774
-140,261
-142,256
-143,759
-144,792
-145,402
-145,649
-145,589
-145,291
-144,841
-144,349
-143,951
-143,784
-143,976
-144,651
-145,915
-147,885
-150,714
-154,52
-159,335
-165,101
-171,647
-178,746
-186,185
-193,701
-200,937
-207,584
-213,444
-218,547
-223,163
-227,621
-232,38
-237,838
-244,194
-251,639
-259,381
-266,14
-271,336
-273,648
-272,838
-268,97
-258,924
