"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2019M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2791567"
"2019M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2250"
"2019M03","Mėnesinis mirusiųjų skaičius","asmenys","3336"
"2019M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2792377"
"2019M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2017"
"2019M02","Mėnesinis mirusiųjų skaičius","asmenys","3309"
"2019M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2794184"
"2019M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2264"
"2019M01","Mėnesinis mirusiųjų skaičius","asmenys","4003"
"2018M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2795274"
"2018M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2126"
"2018M12","Mėnesinis mirusiųjų skaičius","asmenys","3543"
"2018M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2796370"
"2018M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2116"
"2018M11","Mėnesinis mirusiųjų skaičius","asmenys","3022"
"2018M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2797941"
"2018M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2336"
"2018M10","Mėnesinis mirusiųjų skaičius","asmenys","3199"
"2018M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2799344"
"2018M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2463"
"2018M09","Mėnesinis mirusiųjų skaičius","asmenys","2792"
"2018M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2800888"
"2018M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2403"
"2018M08","Mėnesinis mirusiųjų skaičius","asmenys","3138"
"2018M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2801501"
"2018M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2563"
"2018M07","Mėnesinis mirusiųjų skaičius","asmenys","3066"
"2018M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2801647"
"2018M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2463"
"2018M06","Mėnesinis mirusiųjų skaičius","asmenys","2836"
"2018M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2801932"
"2018M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2498"
"2018M05","Mėnesinis mirusiųjų skaičius","asmenys","3262"
"2018M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2802958"
"2018M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2307"
"2018M04","Mėnesinis mirusiųjų skaičius","asmenys","3365"
"2018M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2804776"
"2018M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2371"
"2018M03","Mėnesinis mirusiųjų skaičius","asmenys","3818"
"2018M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2806676"
"2018M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2102"
"2018M02","Mėnesinis mirusiųjų skaičius","asmenys","3745"
"2018M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2808901"
"2018M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2401"
"2018M01","Mėnesinis mirusiųjų skaičius","asmenys","3788"
"2017M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2810564"
"2017M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2201"
"2017M12","Mėnesinis mirusiųjų skaičius","asmenys","3349"
"2017M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2812993"
"2017M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2193"
"2017M11","Mėnesinis mirusiųjų skaičius","asmenys","3266"
"2017M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2815778"
"2017M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2314"
"2017M10","Mėnesinis mirusiųjų skaičius","asmenys","3401"
"2017M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2818687"
"2017M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2546"
"2017M09","Mėnesinis mirusiųjų skaičius","asmenys","3015"
"2017M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2821527"
"2017M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2534"
